,PERMCO,fyear,dlrsn
8378,21247,2010,0.0
8379,21247,2011,0.0
8380,21247,2012,0.0
8381,21247,2013,0.0
8382,21247,2014,0.0
8383,21247,2015,0.0
8384,21247,2016,0.0
8385,21247,2017,0.0
8386,21247,2018,0.0
8387,21247,2019,0.0
8388,27626,2000,0.0
8389,27626,2001,0.0
8390,27626,2002,0.0
8391,27626,2003,0.0
8392,27626,2004,0.0
8393,27626,2005,0.0
8394,27626,2006,0.0
8395,27626,2007,0.0
8396,27626,2008,0.0
8397,27626,2009,0.0
8398,27626,2010,0.0
8399,27626,2011,0.0
8400,27626,2012,0.0
8401,27626,2013,0.0
8402,27626,2014,0.0
8403,27626,2015,0.0
8404,27626,2016,0.0
8405,27626,2017,0.0
8406,27626,2018,0.0
8407,21298,2000,0.0
8408,21298,2001,0.0
8409,21298,2002,0.0
8410,21298,2003,0.0
8411,21298,2004,0.0
8412,21298,2005,0.0
8413,21298,2006,0.0
8414,21298,2007,0.0
8415,21298,2008,0.0
8416,21298,2009,0.0
8417,21298,2010,0.0
8418,21298,2011,0.0
8419,21298,2012,0.0
8420,21298,2013,0.0
8421,21298,2014,0.0
8422,21298,2015,0.0
8423,21298,2016,0.0
8424,21298,2017,0.0
8425,21298,2018,0.0
8426,21298,2019,0.0
8427,21299,2000,0.0
8428,21299,2001,0.0
8429,21299,2002,0.0
8430,21299,2003,0.0
8431,21299,2004,0.0
8432,21299,2005,0.0
8433,21299,2006,0.0
8434,21299,2007,0.0
8435,21299,2008,0.0
8436,21299,2009,0.0
8437,21299,2010,0.0
8438,21299,2011,0.0
8439,21299,2012,0.0
8440,21299,2013,0.0
8441,21299,2014,0.0
8442,21299,2015,0.0
8443,21299,2016,0.0
8444,21299,2017,0.0
8445,21299,2018,0.0
8446,21299,2019,0.0
8447,21244,2000,0.0
8448,21244,2001,0.0
8449,21244,2002,0.0
8450,21244,2003,0.0
8451,21244,2004,0.0
8452,21244,2005,0.0
8453,21244,2006,0.0
8454,21244,2007,0.0
8455,21244,2008,0.0
8456,21244,2009,0.0
8457,21244,2010,0.0
8458,21244,2011,0.0
8459,21244,2012,0.0
8460,21244,2013,0.0
8461,21244,2014,0.0
8462,21244,2015,0.0
8463,21244,2016,0.0
8464,21244,2017,0.0
8465,21244,2018,0.0
8466,21244,2019,0.0
8467,21300,2000,0.0
8468,21300,2001,0.0
8469,21300,2002,0.0
8470,21300,2003,0.0
8471,21300,2004,0.0
8472,21300,2005,0.0
8473,21300,2006,0.0
8474,21300,2007,0.0
8475,21300,2008,0.0
8476,21300,2009,0.0
8477,21300,2010,0.0
8478,21300,2011,0.0
8479,21300,2012,0.0
8480,21300,2013,0.0
8481,21300,2014,0.0
8482,21300,2015,0.0
8483,21300,2016,0.0
8484,21300,2017,0.0
8485,21300,2018,0.0
8486,21300,2019,0.0
8487,3275,2000,0.0
8488,3275,2001,0.0
8489,3275,2002,0.0
8490,3275,2003,0.0
8491,3275,2004,0.0
8492,3275,2005,0.0
8493,3275,2006,0.0
8494,3275,2007,0.0
